"","taxon","date","id","location","trt2","trt","abundance","mean_mgdm","sample_m2","benthic_mg_dm_m2","benthic_mg01"
"1","ceratopogonidae","6/26/2017",1,"Above","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"2","ceratopogonidae","6/26/2017",2,"Above","Cage Control","ctrl",7,1.58332268137842,0.228,48.6107840774075,48.6207840774075
"3","ceratopogonidae","6/26/2017",3,"Above","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"4","ceratopogonidae","6/26/2017",4,"Above","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
"5","ceratopogonidae","6/26/2017",5,"Above","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"6","ceratopogonidae","6/26/2017",6,"Above","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"7","ceratopogonidae","6/26/2017",7,"Above","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
"8","ceratopogonidae","6/26/2017",8,"Above","Cage Control","ctrl",0,1.58332268137842,0.228,0,0.01
"9","ceratopogonidae","6/26/2017",9,"Above","Exclusion","exc",50,1.58332268137842,0.228,347.219886267196,347.229886267196
"10","ceratopogonidae","6/26/2017",10,"Above","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
"11","ceratopogonidae","6/26/2017",1,"Below","Ambient","ctrl",1,1.58332268137842,0.228,6.94439772534393,6.95439772534393
"12","ceratopogonidae","6/26/2017",2,"Below","Exclusion","exc",101,1.58332268137842,0.228,701.384170259737,701.394170259737
"13","ceratopogonidae","6/26/2017",3,"Below","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"14","ceratopogonidae","6/26/2017",4,"Below","Ambient","ctrl",62,1.58332268137842,0.228,430.552658971324,430.562658971324
"15","ceratopogonidae","6/26/2017",5,"Below","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"16","ceratopogonidae","6/26/2017",6,"Below","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
"17","ceratopogonidae","6/26/2017",7,"Below","Exclusion","exc",0,1.58332268137842,0.228,0,0.01
"18","ceratopogonidae","6/26/2017",8,"Below","Ambient","ctrl",1,1.58332268137842,0.228,6.94439772534393,6.95439772534393
"19","ceratopogonidae","6/26/2017",9,"Below","Cage Control","ctrl",0,1.58332268137842,0.228,0,0.01
"20","ceratopogonidae","6/26/2017",10,"Below","Ambient","ctrl",1,1.58332268137842,0.228,6.94439772534393,6.95439772534393
"21","ceratopogonidae","6/2/2017",111,"Below","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
"22","ceratopogonidae","6/2/2017",112,"Above","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
"23","ceratopogonidae","6/2/2017",113,"Below","Ambient","ctrl",0,1.58332268137842,0.228,0,0.01
