"","species","id","loc","sample","date","length_mm","b","a","species_based_on","source","g_dm","g_dmlog10","g_wm"
"1","bluegill",1001,"below","lavage","6/23/2017",81,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",2.73779283308526,2.73779283308526,2.73779283308526
"2","bluegill",1002,"below","lavage","6/23/2017",84,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",2.87972186663159,2.87972186663159,2.87972186663159
"3","bluegill",1029,"below","lavage","6/23/2017",52,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.4787700568968,1.4787700568968,1.4787700568968
"4","bluegill",1004,"below","lavage","6/23/2017",47,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.28494144008993,1.28494144008993,1.28494144008993
"5","bluegill",1005,"below","lavage","6/23/2017",56,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.63918912964402,1.63918912964402,1.63918912964402
"6","bluegill",1045,"above","foregut","6/13/2017",63,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.93071375974601,1.93071375974601,1.93071375974601
"7","bluegill",1011,"above","gut+lavage","6/23/2017",61,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.8460633852589,1.8460633852589,1.8460633852589
"8","bluegill",1012,"below","lavage","6/23/2017",53,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.51843892293519,1.51843892293519,1.51843892293519
"9","bluegill",1009,"below","lavage","6/23/2017",55,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.59865173180766,1.59865173180766,1.59865173180766
"10","bluegill",1010,"below","lavage","6/23/2017",73,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",2.36939145559634,2.36939145559634,2.36939145559634
"11","bluegill",1015,"below","lavage","6/28/2017",54,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.55840058833876,1.55840058833876,1.55840058833876
"12","bluegill",1042,"below","whole_gut","6/13/2017",64,3.2,-5.1,"bluegill","Schneider, James C., P. W. Laarman, and H. Gowing. 2000. Length-weight relationships. Chapter 17 in Schneider, James C. (ed.) 2000. Manual of fisheries survey methods II: with periodic updates. Michigan Department of Natural Resources, Fisheries Special Report 25, Ann Arbor.",1.97343546884379,1.97343546884379,1.97343546884379
