"X1","X","site","location","date","gear","haul","area_sampled_ft2","notes","species","abund","mean_g_wm_ind","source","method","g_wm","area_sampled_m2"
1,1,"bcra","below",2017-05-31,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
2,2,"bcra","below",2017-05-31,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
3,3,"bcra","above",2017-05-31,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
4,4,"bcra","above",2017-05-31,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
5,5,"bcra","below",2017-06-12,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
6,6,"bcra","below",2017-06-12,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
7,7,"bcra","above",2017-06-12,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
8,8,"bcra","above",2017-06-12,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","longnose_gar",0,0,NA,NA,0,37.1612
9,9,"bcra","below",2017-06-23,"20ft_seine",1,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
10,10,"bcra","below",2017-06-23,"20ft_seine",2,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
11,11,"bcra","above",2017-06-23,"20ft_seine",1,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
12,12,"bcra","above",2017-06-23,"20ft_seine",2,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
13,13,"bcra","below",2017-06-28,"20ft_seine",1,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
14,14,"bcra","below",2017-06-28,"20ft_seine",2,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
15,15,"bcra","above",2017-06-28,"20ft_seine",1,400,NA,"longnose_gar",2,439,"guess of authors (2017)","length_wt_regression",878,37.1612
16,16,"bcra","above",2017-06-28,"20ft_seine",2,400,NA,"longnose_gar",0,439,"guess of authors (2017)","length_wt_regression",0,37.1612
17,17,"bcra","below",2017-05-31,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
18,18,"bcra","below",2017-05-31,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
19,19,"bcra","above",2017-05-31,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
20,20,"bcra","above",2017-05-31,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
21,21,"bcra","below",2017-06-12,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
22,22,"bcra","below",2017-06-12,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
23,23,"bcra","above",2017-06-12,"20ft_seine",1,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
24,24,"bcra","above",2017-06-12,"20ft_seine",2,400,"original notes had sand and river shiners, but these were all converted to spotfin shiners after voucher ids","emerald_shiner",0,0,NA,NA,0,37.1612
25,25,"bcra","below",2017-06-23,"20ft_seine",1,400,NA,"emerald_shiner",0,1.3,"guess of authors (2017)","length_wt_regression",0,37.1612
26,26,"bcra","below",2017-06-23,"20ft_seine",2,400,NA,"emerald_shiner",0,1.3,"guess of authors (2017)","length_wt_regression",0,37.1612
27,27,"bcra","above",2017-06-23,"20ft_seine",1,400,NA,"emerald_shiner",0,1.3,"guess of authors (2017)","length_wt_regression",0,37.1612
